data from https://readymag.com/u94255285/colors-of-classics/;;
writer;number;color
Ф. Достоевский;3;алый
Ф. Достоевский;10;багровый/багряный
Ф. Достоевский;0;бежевый
Ф. Достоевский;113;белый/белесый
Ф. Достоевский;36;голубой
Ф. Достоевский;61;жёлтый
Ф. Достоевский;67;зелёный/изумрудный
Ф. Достоевский;72;золотой
Ф. Достоевский;2;карий
Ф. Достоевский;1;коралловый
Ф. Достоевский;6;коричневый/каштановый
Ф. Достоевский;139;красный
Ф. Достоевский;0;лазурный
Ф. Достоевский;1;лиловый
Ф. Достоевский;1;малиновый
Ф. Достоевский;10;оранжевый/рыжий
Ф. Достоевский;1;пурпурный
Ф. Достоевский;18;розовый
Ф. Достоевский;15;русый
Ф. Достоевский;0;серебристый
Ф. Достоевский;20;серый
Ф. Достоевский;1;сизый
Ф. Достоевский;12;синий
Ф. Достоевский;1;сиреневый
Ф. Достоевский;1;фиолетовый
Ф. Достоевский;154;чёрный
